Date,Price
2003-05-31,25.857727272727274
2003-06-30,27.652857142857144
2003-07-31,28.348695652173912
2003-08-31,29.888095238095236
2003-09-30,27.112272727272728
2003-10-31,29.60782608695652
2003-11-30,28.752499999999998
2003-12-31,29.80714285714286
2004-01-31,31.280952380952378
2004-02-29,30.8585
2004-03-31,33.63434782608696
2004-04-30,33.59090909090909
2004-05-31,37.56761904761905
2004-06-30,35.18363636363636
2004-07-31,38.221363636363634
2004-08-31,42.74409090909091
2004-09-30,43.19681818181818
2004-10-31,49.776666666666664
2004-11-30,43.110454545454544
2004-12-31,39.60217391304348
2005-01-31,44.509
2005-02-28,45.475
2005-03-31,53.10454545454545
2005-04-30,51.88380952380952
2005-05-31,48.64545454545455
2005-06-30,54.35454545454545
2005-07-31,57.52
2005-08-31,63.98347826086956
2005-09-30,62.908181818181816
2005-10-31,58.53857142857142
2005-11-30,55.24181818181818
2005-12-31,56.855714285714285
2006-01-31,62.985238095238095
2006-02-28,60.21
2006-03-31,62.06478260869565
2006-04-30,70.26
2006-05-31,69.77695652173912
2006-06-30,68.5559090909091
2006-07-31,73.67428571428572
2006-08-31,73.2304347826087
2006-09-30,61.95857142857143
2006-10-31,57.808181818181815
2006-11-30,58.76136363636363
2006-12-31,62.47210526315789
2007-01-31,53.68142857142857
2007-02-28,57.55578947368421
2007-03-31,62.05045454545455
2007-04-30,67.4857894736842
2007-05-31,67.21227272727273
2007-06-30,71.04571428571428
2007-07-31,76.92999999999999
2007-08-31,70.76086956521739
2007-09-30,77.17315789473685
2007-10-31,82.34
2007-11-30,92.41428571428571
2007-12-31,90.92684210526315
2008-01-31,92.17809523809524
2008-02-29,94.9865
2008-03-31,103.63550000000001
2008-04-30,109.07136363636364
2008-05-31,122.79714285714284
2008-06-30,132.32238095238094
2008-07-31,132.71818181818182
2008-08-31,113.24333333333334
2008-09-30,97.23476190476191
2008-10-31,71.58217391304348
2008-11-30,52.45263157894737
2008-12-31,39.94681818181818
2009-01-31,43.439499999999995
2009-02-28,43.32473684210526
2009-03-31,46.540454545454544
2009-04-30,50.18190476190476
2009-05-31,57.302499999999995
2009-06-30,68.60954545454545
2009-07-31,64.43545454545455
2009-08-31,72.50857142857143
2009-09-30,67.64619047619047
2009-10-31,72.76954545454545
2009-11-30,76.662
2009-12-31,74.45636363636363
2010-01-31,76.16736842105263
2010-02-28,73.75210526315789
2010-03-31,78.82739130434783
2010-04-30,84.81761904761905
2010-05-31,75.94550000000001
2010-06-30,74.7609090909091
2010-07-31,75.58
2010-08-31,77.03954545454545
2010-09-30,77.8404761904762
2010-10-31,82.6647619047619
2010-11-30,85.2747619047619
2010-12-31,91.44681818181817
2011-01-31,96.5235
2011-02-28,103.71631578947368
2011-03-31,114.64347826086957
2011-04-30,123.25888888888888
